class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
a,-0.948683298051,-0.316227766017,111.803398875,0.785398163397,74.3303437366,0.188348382319,0.982102279235,300.365450699,-4.71238898038,4.71238898038,3.70110165041,1.0,688.0
a,-0.768221279597,-0.640184399664,104.804580053,0.785398163397,70.3491293478,0.099503719021,0.99503719021,269.795315741,-3.14159265359,3.14159265359,2.46740110027,1.0,765.0
a,-0.847998304005,-0.529998940003,122.286548729,0.785398163397,83.0240928888,-0.0240893929751,0.999709808467,302.696631063,-1.57079632679,1.57079632679,1.23370055014,1.0,703.0
a,-0.8,-0.6,94.7628619239,0.785398163397,58.0,0.0,1.0,243.899752831,-4.17196948011,6.82360480745,6.07574440277,1.0,797.0
a,-0.6,-0.8,118.088949525,0.785398163397,46.5725240888,0.25766265056,0.966234939601,315.548059982,-2.81984209919,5.03413953478,4.31002965865,1.0,781.0
a,-0.948683298051,-0.316227766017,80.622577483,0.785398163397,55.3624421427,0.343192952924,0.939264923791,227.920167757,-4.39063842599,8.17573218837,6.77743075893,0.0,844.0
a,-0.707106781187,-0.707106781187,109.077953776,0.0,36.4005494464,0.934051834851,0.357137466267,287.050732382,-0.321750554397,9.10302740637,7.72861809223,1.0,984.0
a,-0.529998940003,-0.847998304005,147.434731322,0.0,36.7967389859,0.733760674018,0.679408031498,411.223518992,-4.46741031726,7.60900297085,6.69259467784,1.0,954.0
a,-0.805055837353,-0.59319903805,177.597860347,0.785398163397,61.7413961617,0.421111306455,0.907008967748,486.796160179,-3.14159265359,4.71238898038,3.70110165041,3.0,937.0
b,0.0,1.0,105.109466748,1.10714871779,94.0850678907,0.0425147166248,0.999095840683,228.740284788,-14.1371669412,15.7079632679,12.3370055014,1.0,906.0
b,0.0,1.0,115.0,0.785398163397,87.0919054792,0.0459284933312,0.998944729953,289.649876588,-18.0641577581,18.0641577581,14.1875563266,2.0,813.0
b,0.196116135138,0.980580675691,126.269552941,0.785398163397,106.733312513,0.224859506699,0.974391195695,253.359992249,-16.4933614313,16.4933614313,12.9538557764,2.0,765.0
b,0.0,1.0,98.8382517045,0.785398163397,87.0919054792,-0.0459284933312,0.998944729953,227.070971889,-13.6735193322,13.6735193322,11.0953826844,1.0,907.0
b,0.0,1.0,97.0978887515,0.785398163397,77.1038261048,0.0518780999864,0.998653424738,226.036670693,-15.5660662133,15.5660662133,12.9380112428,1.0,813.0
b,0.0,1.0,111.803398875,1.10714871779,93.0,0.0,1.0,243.121310435,-16.4933614313,16.4933614313,12.9538557764,0.0,750.0
b,0.406138466053,0.91381154862,113.850779532,0.785398163397,73.2461603089,0.0819155567295,0.996639273542,286.305241653,-21.2057504117,22.7765467385,17.888657977,1.0,704.0
b,0.0,1.0,120.415945788,0.785398163397,84.0059521701,0.011903918403,0.999929145853,306.126414549,-19.1713064759,19.1713064759,15.4133346099,1.0,719.0
